Accreditation code,Power station name,State,Installed capacity,Postcode,Fuel source(s),Accreditation start date,Suspension status,Baseline (MWh),Comment
SRPVQLR3,Brisbane Parcel Facility - Solar  - QLD,QLD,0.9994,4301,Solar,4/02/2021,Unsuspended,0,n/a
SRPVWAE2,Intertek - Solar - WA,WA,0.9998,6109,Solar,23/06/2021,Unsuspended,0,n/a
BEBGAC01,Belconnen LFG Power Plant,ACT,1,2616,Biomass,1/04/2001,Suspended,0,n/a
BEBGNS02,Belrose LFG Power Plant,NSW,1,2085,Biomass,1/04/2001,Unsuspended,21739,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
BEBGSA02,Tea Tree Gully LFG Power Plant,SA,1,5097,Biomass,1/04/2001,Suspended,0,n/a
BEBGSA03,Highbury LFG Power Plant,SA,1,5089,Biomass,1/04/2001,Suspended,0,n/a
BEBGVC03,Corio LFG Power Plant,VIC,1,3214,Biomass,1/04/2001,Unsuspended,4620,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
HYMIVC07,Olinda Mini Hydro - VIC,VIC,1,3140,Hydro,1/02/2010,Unsuspended,0,n/a
SRPVNSO1,National Ceramics Rutherford Solar - NSW,NSW,1,2320,Solar,16/01/2020,Unsuspended,0,n/a
SRPVNSR3,Costco Oakdale - Solar - NSW,NSW,1,2178,Solar,1/04/2020,Unsuspended,0,n/a
SRPVSA05,Adelaide Showground Solar - SA,SA,1,5034,Solar,30/10/2009,Unsuspended,0,n/a
SRPVWA29,Karratha Solar Power 1MW,WA,1,6714,Solar,30/08/2016,Unsuspended,0,n/a
SRPVSAH3,Costco Adelaide - Solar - SA,SA,1.0001,5084,Solar,1/04/2020,Unsuspended,0,n/a
SRPVSA58,CSR Golden Grove 1MW - Solar SA,SA,1.001,5125,Solar,15/05/2018,Unsuspended,0,n/a
SRPVSAL0,Vinpac - Solar - SA,SA,1.0019,5353,Solar,7/12/2020,Unsuspended,0,n/a
SRPVVCG8,Woolworths MSRDC Dandenong South - Solar - VIC,VIC,1.0032,3175,Solar,17/01/2019,Unsuspended,0,n/a
SRPVWAA3,Livingston Marketplace - Solar - WA,WA,1.0047,6155,Solar,8/11/2019,Unsuspended,0,n/a
SRPVSAA9,Trinity College Gawler - Solar w SGU - SA,SA,1.0068,5116,Solar,7/03/2019,Unsuspended,0,n/a
SRPVQL92,Mirvac Energy - Orion - Solar - QLD,QLD,1.008,4300,Solar,26/07/2018,Unsuspended,0,n/a
SRPVVCX8,Burwood Brickworks - Solar - VIC,VIC,1.0106,3151,Solar,25/08/2020,Unsuspended,0,n/a
SRPVWAC1,MSUII - Solar - WA,WA,1.0144,6434,Solar,6/07/2020,Unsuspended,0,n/a
BEBGNS05,West Nowra Landfill Gas,NSW,1.019,2541,Biomass,14/02/2002,Suspended,0,n/a
WD00WA01,Denham,WA,1.02,6537,Wind,1/04/2001,Unsuspended,0,n/a
SRPVNSZ4,CleanPeak Energy - Bass Hill - Solar - NSW,NSW,1.0234,2197,Solar,4/01/2021,Unsuspended,0,n/a
SRPVNT35,Daly River Solar Power Station - NT,NT,1.0237,822,Solar,8/03/2018,Unsuspended,0,n/a
SRPVSAD4,Redmud Green Energy 65 - Solar - SA,SA,1.026,5550,Solar,8/08/2019,Unsuspended,0,n/a
SRPVQLB5,Stockland Mall Bundaberg - Solar - QLD,QLD,1.028,4670,Solar,26/10/2018,Unsuspended,0,n/a
SRPVWA69,Ambrisolar PV 1 - WA,WA,1.0282,6415,Solar,11/10/2018,Unsuspended,0,n/a
SRPVNSM8,Westpac Concord - Solar - NSW,NSW,1.0332,2138,Solar,12/11/2019,Unsuspended,0,n/a
SRPVVCN6,D'orsogna Mickleham Solar - VIC,VIC,1.0419,3064,Solar,1/11/2019,Unsuspended,0,n/a
SRPVVC37,Sunshine Plaza,VIC,1.044,3020,Solar,13/10/2016,Unsuspended,0,n/a
SRPVQLG8,Australian Institute of Marine Science - Solar - QLD,QLD,1.0443,4810,Solar,2/09/2019,Unsuspended,0,n/a
BEBGWA07,Kelvin Road LFG,WA,1.045,6110,Biomass,3/11/2003,Unsuspended,0,n/a
SRPVQLI6,Lendlease Sunshine Plaza - Solar - QLD,QLD,1.0569,4558,Solar,1/11/2019,Unsuspended,0,n/a
BEBGVC20,REWASTE WOLLERT - VIC,VIC,1.06,3750,Biomass,7/09/2017,Unsuspended,0,n/a
SRPVSA36,Green Gold 1 - Solar - SA,SA,1.06,5322,Solar,22/12/2017,Unsuspended,0,n/a
BEBGNS15,Kincumber LFG - NSW,NSW,1.064,2251,Biomass,1/06/2008,Unsuspended,0,n/a
BEBGNS16,Woy Woy LFG - NSW,NSW,1.064,2256,Biomass,1/08/2008,Unsuspended,0,n/a
BEBGTA02,McRobies Road - Landfill Gas (LFG) - Hobart - TAS,TAS,1.064,7001,Biomass,17/03/2006,Unsuspended,0,n/a
BEBGQL35,Toowoomba - LFG - QLD,QLD,1.065,4350,Biomass,21/12/2022,Unsuspended,0,
SRPVVC47,Zilzie Winery Solar System - VIC,VIC,1.066,3496,Solar,13/06/2017,Unsuspended,0,n/a
SRPVVCJ9,"TIBALDI Centre Road, Clayton - Solar - VIC",VIC,1.0663,3168,Solar,10/05/2019,Unsuspended,0,n/a
SRPVWAE7,CleanPeak Energy - Wanneroo - Solar - WA,WA,1.0665,6065,Solar,9/09/2021,Unsuspended,0,
BEBGQL19,Willawong - LFG - QLD,QLD,1.067,4110,Biomass,1/08/2012,Unsuspended,0,n/a
BEBGQL30,Bunya LFG - QLD,QLD,1.067,4055,Biomass,14/01/2019,Unsuspended,0,n/a
BEBGVC21,Drysdale - LFG - VIC,VIC,1.067,3222,Biomass,6/12/2018,Unsuspended,0,n/a
BEBGQL26,Gladstone LFG-QLD,QLD,1.067,4680,Biomass,1/12/2016,Unsuspended,0,n/a
SRPVWA66,Todae Solar - Scentre Group Cannington - Solar - WA,WA,1.0719,6107,Solar,3/09/2018,Unsuspended,0,n/a
SRPVVC60,Vawdrey Manufacturing - Solar - VIC,VIC,1.0731,3175,Solar,20/10/2017,Unsuspended,0,n/a
SRPVVCS2,CleanPeak Energy - Lansell Square - Solar - VIC,VIC,1.0779,3555,Solar,9/04/2020,Unsuspended,0,n/a
SRPVSA93,Redmud Green Energy 24 - Solar - SA,SA,1.08,5343,Solar,17/12/2018,Unsuspended,0,n/a
SRPVSAA2,Green Gold 2 - Solar - SA,SA,1.08,5342,Solar,20/02/2019,Unsuspended,0,n/a
SRPVAC21,Icon Water Lower Molonglo - Solar - ACT,ACT,1.092,2617,Solar,6/02/2020,Unsuspended,0,n/a
SRPVQLL9,Costco North Lakes - Solar - QLD,QLD,1.0999,4509,Solar,1/04/2020,Unsuspended,0,n/a
BEBGNT01,Shoal Bay LFG - NT,NT,1.1,812,Biomass,8/08/2005,Unsuspended,0,n/a
BEBGVC13,Tatura Sewage Gas VIC,VIC,1.1,3616,Biomass,21/02/2007,Unsuspended,0,n/a
BEBGVC16,Shepparton One Sewage Gas - VIC,VIC,1.1,3631,Biomass,20/02/2009,Unsuspended,0,n/a
HYMINS10,Jindabyne Dam Mini Hydro,NSW,1.1,2627,Hydro,12/02/2007,Unsuspended,0,n/a
